block_num,timestamp,transactionId,protocol,tvl,usd,period,balances,prices
252867558,1655603401,e7a27a5a4a024058a6494ebd901aeb31eb8287ec911b43135aa1b71294b4f23b,danchorsmart,3264998.8803 EOS,2849038.0230 USD,2022-06-19T01:50:00,9892.4173 EOS|107300.7927 USDT|3132139.7055 EOS,0.8726 USD|1.0000 USD|0.8726 USD
252867558,1655603401,e7a27a5a4a024058a6494ebd901aeb31eb8287ec911b43135aa1b71294b4f23b,lend.defi,1293170.6541 EOS,1128420.7128 USD,2022-06-19T01:50:00,493863.4233 EOS|697475.4897 USDT,0.8726 USD|1.0000 USD
252867558,1655603401,e7a27a5a4a024058a6494ebd901aeb31eb8287ec911b43135aa1b71294b4f23b,lend.pizza,495093.5950 EOS,432018.6710 USD,2022-06-19T01:50:00,1.0000 EOS|12323.8854 EOS|305653.8425 USDT|132489.2661 EOS,0.8726 USD|0.8726 USD|1.0000 USD|0.8726 USD
252867558,1655603401,e7a27a5a4a024058a6494ebd901aeb31eb8287ec911b43135aa1b71294b4f23b,swap.defi,7588835.7209 EOS,6622018.0501 USD,2022-06-19T01:50:00,1408067.1760 EOS|2729207.8630 USDT|3053095.0830 EOS,0.8726 USD|1.0000 USD|0.8726 USD
252868765,1655604004,9b94f04351b0b10999f862155a5820704355ce57633321cb4fe50dc66635a64f,danchorsmart,3265154.6414 EOS,2845582.2700 USD,2022-06-19T02:00:00,9893.2495 EOS|107300.7927 USDT|3132139.4268 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252868765,1655604004,9b94f04351b0b10999f862155a5820704355ce57633321cb4fe50dc66635a64f,lend.defi,1291884.3989 EOS,1125877.2537 USD,2022-06-19T02:00:00,493863.4233 EOS|695475.2803 USDT,0.8715 USD|1.0000 USD
252868765,1655604004,9b94f04351b0b10999f862155a5820704355ce57633321cb4fe50dc66635a64f,lend.pizza,495657.7063 EOS,431965.6911 USD,2022-06-19T02:00:00,1.0000 EOS|12323.9290 EOS|305760.1201 USDT|132489.2661 EOS,0.8715 USD|0.8715 USD|1.0000 USD|0.8715 USD
252868765,1655604004,9b94f04351b0b10999f862155a5820704355ce57633321cb4fe50dc66635a64f,swap.defi,7592587.8698 EOS,6616940.3286 USD,2022-06-19T02:00:00,1408428.0633 EOS|2728722.9067 USDT|3053095.0830 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252869964,1655604604,31b15600b43d7d1fbe90bd822cabda8c3e3dc3500e8414070cd7860ab23c333d,danchorsmart,3264886.8011 EOS,2851552.1321 USD,2022-06-19T02:10:00,9893.2495 EOS|107300.7927 USDT|3132139.4268 EOS,0.8734 USD|1.0000 USD|0.8734 USD
252869964,1655604604,31b15600b43d7d1fbe90bd822cabda8c3e3dc3500e8414070cd7860ab23c333d,lend.defi,1290148.3789 EOS,1126815.5942 USD,2022-06-19T02:10:00,493863.4233 EOS|695475.2803 USDT,0.8734 USD|1.0000 USD
